Trace,Latitude,Longitude,Altitude
0,52.2254936,6.6932582,-0.03
1,52.2254936,6.6932582,-0.03
2,52.2254936,6.6932582,-0.03
3,52.2254935,6.6932583,-0.03
4,52.2254935,6.6932583,-0.03
5,52.2254935,6.6932583,-0.03
6,52.2254935,6.6932583,-0.03
7,52.2254935,6.6932583,-0.03
8,52.2254935,6.6932583,-0.03
9,52.2254935,6.6932583,-0.03
10,52.2254935,6.6932583,-0.03
11,52.2254935,6.6932585,-0.03
12,52.2254935,6.6932585,-0.03
13,52.2254935,6.6932585,-0.03
14,52.2254935,6.6932585,-0.03
15,52.2254935,6.6932585,-0.03
16,52.2254935,6.6932585,-0.03
17,52.2254935,6.6932585,-0.03
18,52.2254935,6.6932585,-0.03
19,52.2254935,6.6932585,-0.03
20,52.2254935,6.6932586,-0.03
21,52.2254935,6.6932586,-0.03
22,52.2254935,6.6932586,-0.03
23,52.2254935,6.6932586,-0.03
24,52.2254935,6.6932586,-0.03
25,52.2254935,6.6932586,-0.03
26,52.2254935,6.6932586,-0.03
27,52.2254935,6.6932586,-0.03
28,52.2254935,6.6932587,-0.03
29,52.2254935,6.6932587,-0.03
30,52.2254935,6.6932587,-0.03
31,52.2254935,6.6932587,-0.03
32,52.2254935,6.6932587,-0.03
33,52.2254935,6.6932587,-0.03
34,52.2254935,6.6932587,-0.03
35,52.2254935,6.6932587,-0.03
36,52.2254935,6.6932587,-0.03
37,52.2254934,6.6932589,-0.03
38,52.2254934,6.6932589,-0.03
39,52.2254934,6.6932589,-0.03
40,52.2254934,6.6932589,-0.03
41,52.2254934,6.6932589,-0.03
42,52.2254934,6.6932589,-0.03
43,52.2254934,6.6932589,-0.03
44,52.2254934,6.6932589,-0.03
45,52.2254934,6.6932589,-0.03
46,52.2254934,6.6932589,-0.03
47,52.2254934,6.6932589,-0.03
48,52.2254934,6.6932589,-0.03
49,52.2254934,6.6932589,-0.03
50,52.2254934,6.6932589,-0.03
51,52.2254934,6.6932589,-0.03
52,52.2254934,6.6932591,-0.03
53,52.2254934,6.6932591,-0.03
54,52.2254934,6.6932591,-0.03
55,52.2254934,6.6932591,-0.03
56,52.2254934,6.6932591,-0.03
57,52.2254934,6.6932591,-0.03
58,52.2254934,6.6932591,-0.03
59,52.2254934,6.6932591,-0.03
60,52.2254934,6.6932591,-0.03
61,52.2254934,6.6932591,-0.03
62,52.2254934,6.6932591,-0.03
